id,device_id,manufacturer,event_type,event_ts,longitude,latitude,iot_signal_1,iot_signal_2,iot_signal_3,iot_signal_4
16,0x1000000000000,AIAI Inc.,device error,2023-12-01 01:16:00,-93.9,41.51341,3.0,1005.0,54.0,107.0
17,0x1000000000008,New World Corp,tank below 10%,2023-12-01 01:17:00,-93.9,41.51341,5.0,1003.0,53.0,101.0
18,0x1000000000000,AIAI Inc.,tank below 5%,2023-12-01 01:18:00,-93.9,41.51341,10.0,1012.0,53.0,101.0
19,0x1000000000004,Hot Data Ltd,device error,2023-12-01 01:19:00,-93.9,41.51341,5.0,1020.0,55.0,106.0
20,0x1000000000005,New World Corp,tank below 5%,2023-12-01 01:20:00,-93.9,41.51341,2.0,1003.0,54.0,103.0
21,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 01:21:00,-93.9,41.51341,1.0,1001.0,54.0,102.0
22,0x1000000000009,AIAI Inc.,tank below 10%,2023-12-01 01:22:00,-93.9,41.51341,3.0,1017.0,53.0,103.0
23,0x1000000000002,New World Corp,tank below 10%,2023-12-01 01:23:00,-93.9,41.51341,1.0,1000.0,51.0,105.0
24,0x1000000000008,New World Corp,device error,2023-12-01 01:24:00,-93.9,41.51341,6.0,1006.0,55.0,103.0
25,0x1000000000006,AIAI Inc.,device error,2023-12-01 01:25:00,-93.9,41.51341,1.0,1002.0,54.0,105.0
26,0x1000000000000,AIAI Inc.,device error,2023-12-01 01:26:00,-93.9,41.51341,4.0,1014.0,51.0,102.0
27,0x1000000000000,AIAI Inc.,device error,2023-12-01 01:27:00,-93.9,41.51341,7.0,1018.0,50.0,101.0
28,0x1000000000004,Hot Data Ltd,tank below 10%,2023-12-01 01:28:00,-93.9,41.51341,5.0,1012.0,55.0,103.0
29,0x1000000000000,AIAI Inc.,tank below 5%,2023-12-01 01:29:00,-93.9,41.51341,9.0,1017.0,52.0,103.0
30,0x1000000000008,New World Corp,tank below 10%,2023-12-01 01:30:00,-93.9,41.51341,2.0,1004.0,53.0,106.0
31,0x1000000000008,New World Corp,system malfunction,2023-12-01 01:31:00,-93.9,41.51341,1.0,1017.0,51.0,106.0
32,0x1000000000005,New World Corp,system malfunction,2023-12-01 01:32:00,-93.9,41.51341,1.0,1002.0,51.0,107.0
33,0x1000000000004,Hot Data Ltd,device error,2023-12-01 01:33:00,-93.9,41.51341,7.0,1003.0,51.0,107.0
34,0x1000000000002,New World Corp,tank below 10%,2023-12-01 01:34:00,-93.9,41.51341,4.0,1002.0,54.0,103.0
35,0x1000000000002,New World Corp,system malfunction,2023-12-01 01:35:00,-93.9,41.51341,2.0,1019.0,54.0,102.0
36,0x1000000000005,New World Corp,system malfunction,2023-12-01 01:36:00,-93.9,41.51341,1.0,1007.0,52.0,106.0
37,0x1000000000009,AIAI Inc.,tank below 10%,2023-12-01 01:37:00,-93.9,41.51341,3.0,1012.0,53.0,105.0
38,0x1000000000006,AIAI Inc.,tank below 5%,2023-12-01 01:38:00,-93.9,41.51341,7.0,1019.0,52.0,104.0
39,0x1000000000001,Hot Data Ltd,tank below 10%,2023-12-01 01:39:00,-93.9,41.51341,7.0,1012.0,51.0,102.0
40,0x1000000000005,New World Corp,tank below 10%,2023-12-01 01:40:00,-93.9,41.51341,6.0,1015.0,54.0,107.0
41,0x1000000000003,AIAI Inc.,device error,2023-12-01 01:41:00,-93.9,41.51341,4.0,1007.0,52.0,100.0
42,0x1000000000008,New World Corp,tank below 5%,2023-12-01 01:42:00,-93.9,41.51341,4.0,1005.0,54.0,105.0
43,0x1000000000005,New World Corp,tank below 5%,2023-12-01 01:43:00,-93.9,41.51341,7.0,1011.0,54.0,104.0
44,0x1000000000004,Hot Data Ltd,tank below 5%,2023-12-01 01:44:00,-93.9,41.51341,1.0,1006.0,50.0,106.0
45,0x1000000000005,New World Corp,tank below 5%,2023-12-01 01:45:00,-93.9,41.51341,8.0,1004.0,54.0,103.0
46,0x1000000000004,Hot Data Ltd,device error,2023-12-01 01:46:00,-93.9,41.51341,4.0,1012.0,50.0,100.0
47,0x1000000000005,New World Corp,tank below 10%,2023-12-01 01:47:00,-93.9,41.51341,10.0,1017.0,54.0,107.0
48,0x1000000000008,New World Corp,device error,2023-12-01 01:48:00,-93.9,41.51341,1.0,1003.0,52.0,102.0
49,0x1000000000001,Hot Data Ltd,device error,2023-12-01 01:49:00,-93.9,41.51341,4.0,1003.0,53.0,105.0
50,0x1000000000008,New World Corp,tank below 5%,2023-12-01 01:50:00,-93.9,41.51341,9.0,1006.0,52.0,101.0
51,0x1000000000001,Hot Data Ltd,system malfunction,2023-12-01 01:51:00,-93.9,41.51341,5.0,1006.0,52.0,101.0
52,0x1000000000005,New World Corp,device error,2023-12-01 01:52:00,-93.9,41.51341,2.0,1007.0,51.0,105.0
53,0x1000000000005,New World Corp,device error,2023-12-01 01:53:00,-93.9,41.51341,1.0,1008.0,50.0,101.0
54,0x1000000000004,Hot Data Ltd,device error,2023-12-01 01:54:00,-93.9,41.51341,9.0,1019.0,54.0,104.0
55,0x1000000000004,Hot Data Ltd,tank below 5%,2023-12-01 01:55:00,-93.9,41.51341,8.0,1013.0,52.0,107.0
56,0x1000000000001,Hot Data Ltd,system malfunction,2023-12-01 01:56:00,-93.9,41.51341,2.0,1015.0,55.0,104.0
57,0x1000000000002,New World Corp,tank below 5%,2023-12-01 01:57:00,-93.9,41.51341,10.0,1016.0,51.0,106.0
58,0x1000000000007,Hot Data Ltd,device error,2023-12-01 01:58:00,-93.9,41.51341,7.0,1017.0,51.0,105.0
59,0x1000000000001,Hot Data Ltd,system malfunction,2023-12-01 01:59:00,-93.9,41.51341,6.0,1007.0,51.0,104.0
60,0x1000000000002,New World Corp,device error,2023-12-01 02:00:00,-93.9,41.51341,5.0,1015.0,53.0,102.0
61,0x1000000000000,AIAI Inc.,tank below 10%,2023-12-01 02:01:00,-93.9,41.51341,3.0,1014.0,51.0,104.0
62,0x1000000000006,AIAI Inc.,tank below 5%,2023-12-01 02:02:00,-93.9,41.51341,3.0,1012.0,53.0,106.0
63,0x1000000000000,AIAI Inc.,device error,2023-12-01 02:03:00,-93.9,41.51341,5.0,1007.0,50.0,105.0
64,0x1000000000000,AIAI Inc.,tank below 10%,2023-12-01 02:04:00,-93.9,41.51341,3.0,1017.0,52.0,105.0
65,0x1000000000001,Hot Data Ltd,tank below 5%,2023-12-01 02:05:00,-93.9,41.51341,10.0,1002.0,52.0,102.0
66,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 02:06:00,-93.9,41.51341,10.0,1005.0,55.0,100.0
67,0x1000000000008,New World Corp,device error,2023-12-01 02:07:00,-93.9,41.51341,4.0,1001.0,52.0,105.0
68,0x1000000000005,New World Corp,system malfunction,2023-12-01 02:08:00,-93.9,41.51341,4.0,1009.0,50.0,105.0
69,0x1000000000003,AIAI Inc.,device error,2023-12-01 02:09:00,-93.9,41.51341,7.0,1018.0,54.0,102.0
70,0x1000000000005,New World Corp,device error,2023-12-01 02:10:00,-93.9,41.51341,7.0,1006.0,52.0,101.0
71,0x1000000000003,AIAI Inc.,device error,2023-12-01 02:11:00,-93.9,41.51341,9.0,1011.0,52.0,105.0
72,0x1000000000006,AIAI Inc.,tank below 5%,2023-12-01 02:12:00,-93.9,41.51341,3.0,1015.0,55.0,107.0
73,0x1000000000008,New World Corp,system malfunction,2023-12-01 02:13:00,-93.9,41.51341,4.0,1001.0,55.0,101.0
74,0x1000000000005,New World Corp,tank below 5%,2023-12-01 02:14:00,-93.9,41.51341,8.0,1004.0,53.0,102.0
75,0x1000000000005,New World Corp,system malfunction,2023-12-01 02:15:00,-93.9,41.51341,2.0,1012.0,50.0,102.0
76,0x1000000000007,Hot Data Ltd,tank below 5%,2023-12-01 02:16:00,-93.9,41.51341,3.0,1020.0,50.0,107.0
77,0x1000000000001,Hot Data Ltd,device error,2023-12-01 02:17:00,-93.9,41.51341,3.0,1015.0,53.0,107.0
78,0x1000000000007,Hot Data Ltd,device error,2023-12-01 02:18:00,-93.9,41.51341,2.0,1001.0,51.0,103.0
79,0x1000000000008,New World Corp,device error,2023-12-01 02:19:00,-93.9,41.51341,6.0,1000.0,51.0,107.0
80,0x1000000000005,New World Corp,device error,2023-12-01 02:20:00,-93.9,41.51341,10.0,1018.0,55.0,101.0
81,0x1000000000004,Hot Data Ltd,tank below 5%,2023-12-01 02:21:00,-93.9,41.51341,5.0,1009.0,52.0,105.0
82,0x1000000000006,AIAI Inc.,system malfunction,2023-12-01 02:22:00,-93.9,41.51341,2.0,1012.0,50.0,105.0
83,0x1000000000000,AIAI Inc.,system malfunction,2023-12-01 02:23:00,-93.9,41.51341,3.0,1011.0,51.0,104.0
84,0x1000000000006,AIAI Inc.,tank below 10%,2023-12-01 02:24:00,-93.9,41.51341,1.0,1017.0,51.0,100.0
85,0x1000000000003,AIAI Inc.,tank below 5%,2023-12-01 02:25:00,-93.9,41.51341,4.0,1000.0,50.0,106.0
86,0x1000000000009,AIAI Inc.,system malfunction,2023-12-01 02:26:00,-93.9,41.51341,8.0,1016.0,52.0,107.0
87,0x1000000000006,AIAI Inc.,tank below 10%,2023-12-01 02:27:00,-93.9,41.51341,8.0,1017.0,53.0,105.0
88,0x1000000000004,Hot Data Ltd,system malfunction,2023-12-01 02:28:00,-93.9,41.51341,8.0,1013.0,51.0,105.0
89,0x1000000000008,New World Corp,tank below 5%,2023-12-01 02:29:00,-93.9,41.51341,8.0,1014.0,54.0,103.0
90,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 02:30:00,-93.9,41.51341,2.0,1000.0,51.0,104.0
91,0x1000000000002,New World Corp,device error,2023-12-01 02:31:00,-93.9,41.51341,8.0,1010.0,53.0,104.0
92,0x1000000000000,AIAI Inc.,tank below 5%,2023-12-01 02:32:00,-93.9,41.51341,2.0,1019.0,52.0,105.0
93,0x1000000000004,Hot Data Ltd,device error,2023-12-01 02:33:00,-93.9,41.51341,2.0,1015.0,52.0,105.0
94,0x1000000000008,New World Corp,system malfunction,2023-12-01 02:34:00,-93.9,41.51341,8.0,1001.0,55.0,106.0
95,0x1000000000001,Hot Data Ltd,device error,2023-12-01 02:35:00,-93.9,41.51341,6.0,1011.0,53.0,102.0
96,0x1000000000001,Hot Data Ltd,system malfunction,2023-12-01 02:36:00,-93.9,41.51341,3.0,1005.0,53.0,101.0
97,0x1000000000007,Hot Data Ltd,system malfunction,2023-12-01 02:37:00,-93.9,41.51341,3.0,1010.0,53.0,101.0
98,0x1000000000001,Hot Data Ltd,tank below 5%,2023-12-01 02:38:00,-93.9,41.51341,1.0,1012.0,52.0,102.0
99,0x1000000000007,Hot Data Ltd,system malfunction,2023-12-01 02:39:00,-93.9,41.51341,8.0,1008.0,52.0,106.0
100,0x1000000000000,AIAI Inc.,tank below 5%,2023-12-01 02:40:00,-93.9,41.51341,8.0,1013.0,51.0,102.0
101,0x1000000000009,AIAI Inc.,system malfunction,2023-12-01 02:41:00,-93.9,41.51341,6.0,1003.0,55.0,104.0
102,0x1000000000007,Hot Data Ltd,system malfunction,2023-12-01 02:42:00,-93.9,41.51341,4.0,1020.0,52.0,101.0
103,0x1000000000009,AIAI Inc.,tank below 10%,2023-12-01 02:43:00,-93.9,41.51341,2.0,1020.0,52.0,101.0
104,0x1000000000004,Hot Data Ltd,tank below 5%,2023-12-01 02:44:00,-93.9,41.51341,8.0,1012.0,55.0,100.0
105,0x1000000000001,Hot Data Ltd,device error,2023-12-01 02:45:00,-93.9,41.51341,4.0,1003.0,51.0,103.0
106,0x1000000000003,AIAI Inc.,device error,2023-12-01 02:46:00,-93.9,41.51341,5.0,1002.0,55.0,105.0
107,0x1000000000008,New World Corp,device error,2023-12-01 02:47:00,-93.9,41.51341,9.0,1018.0,53.0,106.0
108,0x1000000000003,AIAI Inc.,tank below 10%,2023-12-01 02:48:00,-93.9,41.51341,10.0,1005.0,54.0,102.0
109,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 02:49:00,-93.9,41.51341,4.0,1004.0,54.0,105.0
110,0x1000000000001,Hot Data Ltd,tank below 5%,2023-12-01 02:50:00,-93.9,41.51341,8.0,1018.0,55.0,105.0
111,0x1000000000003,AIAI Inc.,tank below 5%,2023-12-01 02:51:00,-93.9,41.51341,9.0,1019.0,52.0,105.0
112,0x1000000000007,Hot Data Ltd,tank below 5%,2023-12-01 02:52:00,-93.9,41.51341,8.0,1018.0,54.0,101.0
113,0x1000000000007,Hot Data Ltd,device error,2023-12-01 02:53:00,-93.9,41.51341,6.0,1006.0,54.0,101.0
114,0x1000000000007,Hot Data Ltd,device error,2023-12-01 02:54:00,-93.9,41.51341,7.0,1016.0,53.0,103.0
115,0x1000000000000,AIAI Inc.,tank below 5%,2023-12-01 02:55:00,-93.9,41.51341,2.0,1002.0,50.0,100.0
116,0x1000000000005,New World Corp,device error,2023-12-01 02:56:00,-93.9,41.51341,2.0,1019.0,51.0,104.0
117,0x1000000000002,New World Corp,device error,2023-12-01 02:57:00,-93.9,41.51341,3.0,1001.0,53.0,106.0
118,0x1000000000002,New World Corp,device error,2023-12-01 02:58:00,-93.9,41.51341,4.0,1002.0,52.0,101.0
119,0x1000000000009,AIAI Inc.,device error,2023-12-01 02:59:00,-93.9,41.51341,8.0,1010.0,54.0,107.0
120,0x1000000000007,Hot Data Ltd,system malfunction,2023-12-01 03:00:00,-93.9,41.51341,10.0,1013.0,50.0,101.0
121,0x1000000000003,AIAI Inc.,device error,2023-12-01 03:01:00,-93.9,41.51341,10.0,1015.0,54.0,106.0
122,0x1000000000001,Hot Data Ltd,tank below 10%,2023-12-01 03:02:00,-93.9,41.51341,10.0,1010.0,53.0,101.0
123,0x1000000000005,New World Corp,device error,2023-12-01 03:03:00,-93.9,41.51341,5.0,1015.0,50.0,104.0
124,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 03:04:00,-93.9,41.51341,8.0,1010.0,51.0,104.0
125,0x1000000000000,AIAI Inc.,tank below 10%,2023-12-01 03:05:00,-93.9,41.51341,8.0,1017.0,50.0,105.0
126,0x1000000000005,New World Corp,tank below 5%,2023-12-01 03:06:00,-93.9,41.51341,10.0,1005.0,50.0,103.0
127,0x1000000000005,New World Corp,device error,2023-12-01 03:07:00,-93.9,41.51341,5.0,1007.0,52.0,106.0
128,0x1000000000002,New World Corp,system malfunction,2023-12-01 03:08:00,-93.9,41.51341,4.0,1005.0,51.0,106.0
129,0x1000000000001,Hot Data Ltd,system malfunction,2023-12-01 03:09:00,-93.9,41.51341,2.0,1006.0,50.0,104.0
130,0x1000000000000,AIAI Inc.,system malfunction,2023-12-01 03:10:00,-93.9,41.51341,2.0,1014.0,53.0,104.0
131,0x1000000000001,Hot Data Ltd,tank below 10%,2023-12-01 03:11:00,-93.9,41.51341,2.0,1015.0,54.0,102.0
132,0x1000000000004,Hot Data Ltd,system malfunction,2023-12-01 03:12:00,-93.9,41.51341,4.0,1018.0,51.0,106.0
133,0x1000000000007,Hot Data Ltd,tank below 5%,2023-12-01 03:13:00,-93.9,41.51341,6.0,1011.0,52.0,104.0
134,0x1000000000005,New World Corp,tank below 5%,2023-12-01 03:14:00,-93.9,41.51341,7.0,1019.0,52.0,104.0
135,0x1000000000009,AIAI Inc.,system malfunction,2023-12-01 03:15:00,-93.9,41.51341,9.0,1019.0,53.0,105.0
136,0x1000000000002,New World Corp,device error,2023-12-01 03:16:00,-93.9,41.51341,9.0,1015.0,53.0,101.0
137,0x1000000000008,New World Corp,device error,2023-12-01 03:17:00,-93.9,41.51341,10.0,1005.0,54.0,106.0
138,0x1000000000005,New World Corp,system malfunction,2023-12-01 03:18:00,-93.9,41.51341,9.0,1000.0,51.0,103.0
139,0x1000000000001,Hot Data Ltd,tank below 5%,2023-12-01 03:19:00,-93.9,41.51341,3.0,1020.0,52.0,102.0
140,0x1000000000000,AIAI Inc.,system malfunction,2023-12-01 03:20:00,-93.9,41.51341,7.0,1002.0,52.0,107.0
141,0x1000000000003,AIAI Inc.,device error,2023-12-01 03:21:00,-93.9,41.51341,10.0,1016.0,51.0,101.0
142,0x1000000000009,AIAI Inc.,device error,2023-12-01 03:22:00,-93.9,41.51341,7.0,1000.0,51.0,103.0
143,0x1000000000003,AIAI Inc.,system malfunction,2023-12-01 03:23:00,-93.9,41.51341,9.0,1008.0,53.0,102.0
144,0x1000000000003,AIAI Inc.,tank below 5%,2023-12-01 03:24:00,-93.9,41.51341,2.0,1006.0,52.0,103.0
145,0x1000000000005,New World Corp,tank below 5%,2023-12-01 03:25:00,-93.9,41.51341,4.0,1009.0,54.0,107.0
146,0x1000000000005,New World Corp,device error,2023-12-01 03:26:00,-93.9,41.51341,2.0,1011.0,52.0,104.0
147,0x1000000000007,Hot Data Ltd,tank below 5%,2023-12-01 03:27:00,-93.9,41.51341,9.0,1004.0,53.0,101.0
148,0x1000000000005,New World Corp,system malfunction,2023-12-01 03:28:00,-93.9,41.51341,2.0,1002.0,55.0,100.0
149,0x1000000000008,New World Corp,tank below 5%,2023-12-01 03:29:00,-93.9,41.51341,6.0,1017.0,52.0,103.0
150,0x1000000000004,Hot Data Ltd,device error,2023-12-01 03:30:00,-93.9,41.51341,7.0,1012.0,51.0,106.0
151,0x1000000000008,New World Corp,tank below 5%,2023-12-01 03:31:00,-93.9,41.51341,8.0,1013.0,54.0,100.0
152,0x1000000000002,New World Corp,tank below 5%,2023-12-01 03:32:00,-93.9,41.51341,3.0,1009.0,51.0,104.0
153,0x1000000000000,AIAI Inc.,device error,2023-12-01 03:33:00,-93.9,41.51341,6.0,1019.0,52.0,106.0
154,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 03:34:00,-93.9,41.51341,1.0,1012.0,54.0,103.0
155,0x1000000000007,Hot Data Ltd,tank below 5%,2023-12-01 03:35:00,-93.9,41.51341,1.0,1002.0,55.0,102.0
156,0x1000000000004,Hot Data Ltd,device error,2023-12-01 03:36:00,-93.9,41.51341,3.0,1010.0,50.0,104.0
157,0x1000000000008,New World Corp,tank below 5%,2023-12-01 03:37:00,-93.9,41.51341,2.0,1013.0,53.0,107.0
158,0x1000000000000,AIAI Inc.,device error,2023-12-01 03:38:00,-93.9,41.51341,7.0,1013.0,53.0,104.0
159,0x1000000000009,AIAI Inc.,tank below 10%,2023-12-01 03:39:00,-93.9,41.51341,5.0,1002.0,51.0,103.0
160,0x1000000000006,AIAI Inc.,device error,2023-12-01 03:40:00,-93.9,41.51341,1.0,1019.0,53.0,101.0
161,0x1000000000004,Hot Data Ltd,device error,2023-12-01 03:41:00,-93.9,41.51341,7.0,1014.0,50.0,105.0
162,0x1000000000001,Hot Data Ltd,system malfunction,2023-12-01 03:42:00,-93.9,41.51341,5.0,1012.0,54.0,102.0
163,0x1000000000000,AIAI Inc.,tank below 5%,2023-12-01 03:43:00,-93.9,41.51341,9.0,1015.0,54.0,105.0
164,0x1000000000003,AIAI Inc.,system malfunction,2023-12-01 03:44:00,-93.9,41.51341,3.0,1007.0,54.0,105.0
165,0x1000000000004,Hot Data Ltd,tank below 5%,2023-12-01 03:45:00,-93.9,41.51341,3.0,1020.0,51.0,105.0
166,0x1000000000004,Hot Data Ltd,system malfunction,2023-12-01 03:46:00,-93.9,41.51341,8.0,1013.0,53.0,103.0
167,0x1000000000007,Hot Data Ltd,device error,2023-12-01 03:47:00,-93.9,41.51341,8.0,1012.0,50.0,102.0
168,0x1000000000009,AIAI Inc.,system malfunction,2023-12-01 03:48:00,-93.9,41.51341,3.0,1010.0,53.0,102.0
169,0x1000000000006,AIAI Inc.,system malfunction,2023-12-01 03:49:00,-93.9,41.51341,8.0,1017.0,50.0,107.0
170,0x1000000000008,New World Corp,device error,2023-12-01 03:50:00,-93.9,41.51341,7.0,1012.0,55.0,104.0
171,0x1000000000000,AIAI Inc.,tank below 10%,2023-12-01 03:51:00,-93.9,41.51341,5.0,1016.0,55.0,105.0
172,0x1000000000006,AIAI Inc.,device error,2023-12-01 03:52:00,-93.9,41.51341,7.0,1005.0,52.0,104.0
173,0x1000000000008,New World Corp,tank below 5%,2023-12-01 03:53:00,-93.9,41.51341,2.0,1014.0,54.0,100.0
174,0x1000000000007,Hot Data Ltd,device error,2023-12-01 03:54:00,-93.9,41.51341,2.0,1006.0,50.0,104.0
175,0x1000000000007,Hot Data Ltd,tank below 10%,2023-12-01 03:55:00,-93.9,41.51341,7.0,1003.0,50.0,105.0
176,0x1000000000004,Hot Data Ltd,tank below 5%,2023-12-01 03:56:00,-93.9,41.51341,2.0,1003.0,51.0,101.0
177,0x1000000000005,New World Corp,device error,2023-12-01 03:57:00,-93.9,41.51341,2.0,1008.0,54.0,101.0
178,0x1000000000002,New World Corp,system malfunction,2023-12-01 03:58:00,-93.9,41.51341,1.0,1004.0,54.0,103.0
179,0x1000000000007,Hot Data Ltd,system malfunction,2023-12-01 03:59:00,-93.9,41.51341,5.0,1003.0,52.0,102.0
180,0x1000000000005,New World Corp,tank below 5%,2023-12-01 04:00:00,-93.9,41.51341,8.0,1011.0,52.0,104.0
181,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 04:01:00,-93.9,41.51341,3.0,1008.0,54.0,104.0
182,0x1000000000006,AIAI Inc.,tank below 5%,2023-12-01 04:02:00,-93.9,41.51341,8.0,1006.0,51.0,101.0
183,0x1000000000008,New World Corp,system malfunction,2023-12-01 04:03:00,-93.9,41.51341,10.0,1013.0,51.0,103.0
184,0x1000000000002,New World Corp,system malfunction,2023-12-01 04:04:00,-93.9,41.51341,8.0,1005.0,53.0,102.0
185,0x1000000000003,AIAI Inc.,tank below 5%,2023-12-01 04:05:00,-93.9,41.51341,5.0,1015.0,53.0,103.0
186,0x1000000000008,New World Corp,device error,2023-12-01 04:06:00,-93.9,41.51341,8.0,1019.0,53.0,102.0
187,0x1000000000001,Hot Data Ltd,device error,2023-12-01 04:07:00,-93.9,41.51341,2.0,1013.0,53.0,102.0
188,0x1000000000004,Hot Data Ltd,tank below 10%,2023-12-01 04:08:00,-93.9,41.51341,6.0,1001.0,51.0,102.0
189,0x1000000000002,New World Corp,tank below 10%,2023-12-01 04:09:00,-93.9,41.51341,8.0,1003.0,51.0,104.0
190,0x1000000000001,Hot Data Ltd,device error,2023-12-01 04:10:00,-93.9,41.51341,9.0,1018.0,53.0,101.0
191,0x1000000000001,Hot Data Ltd,tank below 5%,2023-12-01 04:11:00,-93.9,41.51341,9.0,1011.0,55.0,101.0
192,0x1000000000003,AIAI Inc.,device error,2023-12-01 04:12:00,-93.9,41.51341,5.0,1012.0,54.0,104.0
193,0x1000000000004,Hot Data Ltd,tank below 10%,2023-12-01 04:13:00,-93.9,41.51341,10.0,1006.0,51.0,103.0
194,0x1000000000008,New World Corp,tank below 5%,2023-12-01 04:14:00,-93.9,41.51341,1.0,1004.0,54.0,105.0
195,0x1000000000005,New World Corp,system malfunction,2023-12-01 04:15:00,-93.9,41.51341,3.0,1019.0,52.0,102.0
196,0x1000000000000,AIAI Inc.,device error,2023-12-01 04:16:00,-93.9,41.51341,9.0,1002.0,54.0,102.0
197,0x1000000000002,New World Corp,device error,2023-12-01 04:17:00,-93.9,41.51341,5.0,1009.0,50.0,104.0
198,0x1000000000009,AIAI Inc.,tank below 5%,2023-12-01 04:18:00,-93.9,41.51341,4.0,1005.0,51.0,105.0
199,0x1000000000007,Hot Data Ltd,device error,2023-12-01 04:19:00,-93.9,41.51341,6.0,1018.0,52.0,101.0
200,0x1000000000002,New World Corp,tank below 5%,2023-12-01 04:20:00,-93.9,41.51341,8.0,1012.0,51.0,107.0
201,0x1000000000002,New World Corp,device error,2023-12-01 04:21:00,-93.9,41.51341,5.0,1004.0,51.0,104.0
202,0x1000000000005,New World Corp,tank below 10%,2023-12-01 04:22:00,-93.9,41.51341,9.0,1008.0,51.0,105.0
203,0x1000000000004,Hot Data Ltd,tank below 10%,2023-12-01 04:23:00,-93.9,41.51341,4.0,1007.0,52.0,101.0
204,0x1000000000005,New World Corp,device error,2023-12-01 04:24:00,-93.9,41.51341,9.0,1017.0,52.0,107.0
205,0x1000000000007,Hot Data Ltd,tank below 10%,2023-12-01 04:25:00,-93.9,41.51341,6.0,1002.0,52.0,102.0
206,0x1000000000008,New World Corp,system malfunction,2023-12-01 04:26:00,-93.9,41.51341,10.0,1020.0,54.0,106.0
207,0x1000000000005,New World Corp,system malfunction,2023-12-01 04:27:00,-93.9,41.51341,1.0,1002.0,51.0,107.0
208,0x1000000000004,Hot Data Ltd,tank below 10%,2023-12-01 04:28:00,-93.9,41.51341,2.0,1013.0,54.0,105.0
209,0x1000000000008,New World Corp,system malfunction,2023-12-01 04:29:00,-93.9,41.51341,7.0,1017.0,51.0,101.0
210,0x1000000000006,AIAI Inc.,tank below 10%,2023-12-01 04:30:00,-93.9,41.51341,5.0,1003.0,53.0,104.0
211,0x1000000000009,AIAI Inc.,device error,2023-12-01 04:31:00,-93.9,41.51341,3.0,1012.0,51.0,103.0
212,0x1000000000007,Hot Data Ltd,tank below 10%,2023-12-01 04:32:00,-93.9,41.51341,9.0,1000.0,51.0,105.0
213,0x1000000000003,AIAI Inc.,device error,2023-12-01 04:33:00,-93.9,41.51341,2.0,1006.0,51.0,102.0
214,0x1000000000005,New World Corp,system malfunction,2023-12-01 04:34:00,-93.9,41.51341,6.0,1019.0,50.0,101.0
215,0x1000000000006,AIAI Inc.,device error,2023-12-01 04:35:00,-93.9,41.51341,7.0,1010.0,51.0,106.0
216,0x1000000000006,AIAI Inc.,device error,2023-12-01 04:36:00,-93.9,41.51341,4.0,1011.0,55.0,105.0
